component,background,text,primary_color,secondary_color,accent_color,font_family_heading,font_family_body,font_size_base,title,logo
theme,#000,#fff,#006aff,#2b2b78,#5050cb,Source Code Pro,Source Code Pro,12,Innova,innova logo.png
,,,,,,,,,,
component,id,text1,cta,bg_image_url,cta_url,cta2,cta2_url,,,
hero,hero_01,Simple in Structure. Powerful in Execution.,Get Started,static/innova_logo.png,https://payhip.com/InnovaTechnologies,Work with us,#aff_01,,,
,,,,,,,,,,
component,id,text1,text2,cta_url,demo_tab_1,demo_url_1,demo_tab_2,demo_url_2,demo_tab_3,demo_url_3
demo,demo_01,"So simple to set up, we have demos for you right here","So powerful, the page you're on is built using our SheetSite framework. No vendor lock-in, no APIs, no monthly fees. Just a spreadsheet and a front-end.",https://docs.google.com/document/d/1StWCQVwwQ4i-IgfZPCVv3uKvdbepK32SkQN1Ig4EbHc/edit?tab=t.0#heading=h.baj2hbyapv0l,Velvet & Co. Salon Booking,https://innovainformationtechnologies.github.io/salon_demo/,WcDonneld's Restaurant Menu,https://innovainformationtechnologies.github.io/wcdonnelds_demo/,Meta Band Homepage,https://innovainformationtechnologies.github.io/music_band_demo/
,,,,,,,,,,
component,id,text1,,,,,,,,
title,title_01,What We Offer,,,,,,,,
,,,,,,,,,,
component,id,text,width,,,,,,,
block,block_01,"We build easy-to-use tools to help you grow your business or monetize your passions without the vendor lock-in, bloated features, or monthly fees. Once you purchase one of our SheetSites, YOU OWN THE CODE!",100rem,,,,,,,
,,,,,,,,,,
component,id,gap,,,,,,,,
flex_row,flex_row_01,5rem,,,,,,,,
,,,,,,,,,,
component,id,parent_id,title,body,price,image_url,cta_url,,,
product_card,card_01,flex_row_01,DIY Template,Choose a template to customize and follow the included instructions to launch it yourself.,Browse,https://images.unsplash.com/photo-1547658719-da2b51169166?q=80&w=1064&auto=format&fit=crop,https://payhip.com/InnovaTechnologies,,,
product_card,card_03,flex_row_01,Per Update,"Any change — text, images, hours, pricing. No contract. No commitment.",$50,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?q=80&w=1074&auto=format&fit=crop,https://calendly.com/onyxaudiotech/30min,,,
product_card,card_02,flex_row_01,Website Build,Complete one-page website designed and built for your business. Flat rate. No surprises.,$200,https://images.unsplash.com/photo-1547658719-da2b51169166?q=80&w=1064&auto=format&fit=crop,https://calendly.com/onyxaudiotech/30min,,,
,,,,,,,,,,
component,id,cta_url,,,,,,,,
affiliate,aff_01,https://payhip.com/auth/register/af69c824d57afa7,,,,,,,,
